Reaction_ID,Confidence_Level
HMR_3106,-1
HMR_2819,2
HMR_3321,2
HMR_2851,2
HMR_2861,2
HMR_2865,2
HMR_2884,2
ASPT,2
HMR_3915,2
HMR_3951,-1
UPPRT,1
HMR_2888,2
XYLR,0
HMGCOARx,2
CHOLD,2
HMR_6907,1
HMR_6908,1
HMR_6909,1
HMR_5387,2
HMR_5389,2
METOX,0
HMR_6500,-1
HMR_7748,3
HMR_7749,3
HMR_9176,-1
HMR_8374,-1
HMR_8418,-1
HMR_9638,-1
HMR_9720,-1
HMR_9640,-1
DCA24GSr,0
DCA3GSr,0
HMR_9726,0
DM_dca24g_c,-1
DM_dca3s_c,-1
C14STR,1
HMR_1467,2
HMR_1500,1
EX_glc__D_e,-1
CRVSM23hr,2
CVM1GLUChc,0
SMVACIDhep,2
EX_caproic_e,-1
EX_dolichol__L_e,-1
SK_his__L_c,-1
SK_lys__L_c,-1
SK_thr__L_c,-1
SK_val__L_c,-1
SK_ala__L_c,-1
SK_arg__L_c,-1
SK_asn__L_c,-1
SK_pro__L_c,-1
SK_tyr__L_c,-1
DM_4abut_c,-1
EX_C01601_e,-1
PROTEIN_BS,-1
EX_M01111_e,-1
CYOOm2i,0
CO2tp,-1
EX_5adtststeroneglc_e,-1
34HPPOR,0
3DPHBH1,-1
3DPHBH2,-1
3HBCDm,2
3HLYTCL,0
3SALAASPm,1
3SALATAi,1
3SALATAim,2
3SPYRSP,-1
3SPYRSPm,-1
4ABUTtm,-1
5ADTSTSTERONEGLCte,2
5ADTSTSTERONEtr,-1
5AOPtm,-1
5MTHFt,0
AATA,0
ACACT1m,1
ACACT1x,1
ACACtx,-1
ACETONEt2m,1
ACGALtly,-1
ACGAM6PS,2
ACGPID,1
ACITL,3
ACNAM9PL,1
ACNAM9PL2,1
ACNAMPH,1
ACSm,2
ACTLMO,0
ACTNMO,0
ADCim,-1
ADK1m,2
ADSK,1
ADSL1r,1
AHANDROSTANGLCtr,-1
AKGDm,2
AKGtp,-1
ALATA_L,1
ALDD21,2
ALOX5,1
ALOX52,1
AMPTASECGe,2
AMY1e,0
ANDRSTRNte,-1
AOBUTDsm,-1
ARACHCPT1,0
ARACHCPT2,1
ARTFR208,-1
ASNtm,-1
ATP2ter,-1
BILGLCURtr,-1
BILIRUBtr,-1
BMTer_U,1
C14STRr,1
C161CPT22,1
C180CPT2,1
C3STDH1Pr,1
CBPSam,1
CGLYt3_2,1
CHAT,0
CHOLATEt,0
CHOLtu,0
CHTNASE,0
CLS_hs,2
CO2ter,-1
COAtp,-1
COAtr,-1
COQ5m,-1
COUCOAFm,-1
CRNtx,-1
CSDPASEly,-1
CSm,3
CSPG_Etly,-1
CYSTA,1
CYSTSERex,0
CYTDK1,1
CYTK10,3
CYTK11,3
CYTK13,3
CYTK2_1,3
CYTK9,3
DAGt,-1
DDPGAm,-1
DEDOLP1_L,-1
DEDOLR_L,-1
DESAT18_8,2
DGTPtn,-1
DHCR241r,3
DHCR242r,0
DHCR243r,3
DHCR71r,1
D_LACtm,1
DM_dctp_m,-1
DM_dttp_m,-1
DM_ethamp_r,-1
DM_gpi_sig_r,-1
DMHPTCRNt,-1
DNDPt23m,0
DOLMANP_Uter,-1
DPHMBDCm,-1
DPPS,-1
DTTPtn,-1
EBP1r,1
EBP2r,1
ECOAH1m,1
ECOAH1x,1
EHGLAT2m,2
EHGLATm,2
ELAIDCPT1,0
ELAIDCPT2,1
ESTRIOLGLCtr,-1
EX_10fthf_e,-1
EX_ach_e,-1
EX_arachd_e,-1
EX_atp_e,-1
EX_bilglcur_e,-1
EX_bilirub_e,-1
EX_chsterol_e,-1
EX_cspg_a_e,-1
EX_cspg_d_e,-1
EX_estriolglc_e,-1
EX_fucgalfucgalacglcgalgluside_hs_e,-1
EX_h2o2_e,-1
EX_hco3_e,-1
EX_hdca_e,-1
EX_hpdca_e,-1
EX_inost_e,-1
EX_lgnc_e,-1
EX_o2s_e,-1
EX_pe_hs_e,-1
EX_pglyc_hs_e,-1
EX_strch1_e,-1
EX_thf_e,-1
EX_tststerone_e,-1
EX_utp_e,-1
EX_xolest_hs_e,-1
FACOAL191,1
FACOAL206,1
FAOXC161802m,1
FAOXC170m,2
FAOXC180,1
CRNCARtm,1
r2434,1
CARN160t_m,1
r2437,1
FAOXC18480x,1
FAOXC200180m,1
r2499,1
r2501,1
r2521,-1
r2539,-1
GNK,-1
FAOXC226,1
RE0453N,0
FAOXC226205x,1
RE2112C,-1
FAOXC240200x_1,1
RE2327C,-1
RE2407C,-1
RE2410C,-1
AKGCITtm,1
RE2541E,0
RE2640C,0
RE2649C,0
r2403,0
r2420,1
FAOXC80,1
RE1517X,2
RE1518M,0
RE1521X,1
RE1523X,1
RE1525X,1
RE1530C,-1
RE1531X,2
RE1532X,2
RE3273C_1,1
RE1573X,1
RE3301C_1,1
RE3381E,0
RE3417C_1,-1
RE3420C_1,-1
HSD3B7,0
SCP3x,3
EX_CE1950_e,-1
EX_CE1926_e,-1
EX_crm_hs_e,-1
2MB2COAc,2
BCRNe,-1
EX_3bcrn_e,-1
EX_c51crn_e,-1
EX_ddeccrn_e,-1
EX_ivcrn_e,-1
FAOXC101C8m,1
FAOXC102C103m,2
TTDCPT1,0
C141ACBP,2
C142ACBP,2
GLNyLATthc,1
GLYPROPEPT1tc,0
GLYSARCNc,3
C4OHc,0
C50CPT1,0
C6CRNe,-1
C6CRNtcx,1
C8CRNe,-1
C9BRxtc,1
DDECCRNe,-1
EX_q10_e,-1
FATP4t,0
FADH2ETC,1
GLYCt,-1
IPDDI,0
MEVK1,1
PGLc,1
PMEVK,1
RPEc,2
TRPB0AT3tc,0
LNELDCCRNte,2
ODECRNte,2
PMTCRNte,2
HDCECRNte,2
EX_stcrn_e,-1
FAOXC8C6x,1
FAOXTC101TC102m,2
FAOXTC102C101m,1
FAOXTC122TC101m,1
FAOXTC122m,1
FAOXTC142TC122m,3
GLUTCOAACBP,2
HDDACBP,2
HDECAACBP,2
HDECEACBP,2
HEXCOAACBP,2
HEXDICOAACBP,2
HOCDACBP,2
HOCTDACBP,2
OCTDEC2ACBP,2
FACOAE60,-1
PEHSFABPe,0
4TMEABUTNt1,-1
4TMEABUTNt2,-1
DPMVD,1
EX_7dhchsterol_e,-1
q10tm,-1
DM_fol_c,-1
EX_5mta_e,-1
EX_5oxpro_e,-1
GLYALDtr,-1
2PGtr,-1
DCMPtr,-1
EX_forglu_e,-1
L2AADPtr,-1
UDPGLCURtr,-1
IMPtr,-1
EX_hxcoa_e,-1
HC02149td,-1
HEXDIACtd,-1
HXCOAte,-1
LTHSTRLt,-1
MEV_Rt,-1
EX_4tmeabutn_e,-1
SACCRP_Lte,-1
SACCRP_Ltm,-1
TMLYStd,-1
C03990t,0
C04717td,-1
EX_ileasnhis_e,-1
EX_leutyrtyr_e,-1
EX_lyslyslys_e,-1
EX_lystyrile_e,-1
ARGTYRVALt,0
ASNCYSCYSt,0
ASNPHEASPt,0
ASNTYRTHRt,0
CYSTYRASNt,0
EX_saccrp__L_e,-1
EX_tmlys_e,-1
GLNASNGLNt,0
PROARGCYSt,0
EX_estriol_e,-1
EX_ddca_e,-1
SERGLYGLUt,0
EX_serglyglu_e,-1
ARGSERSERr,-1
ARGTYRVALr,-1
ASNCYSCYSr,-1
ASNPHEASPr,-1
ASNTYRTHRr,-1
EX_thrasntyr_e,-1
EX_thrilearg_e,-1
EX_trpaspasp_e,-1
HDCECRNtr,-1
LNELDCCRNtr,-1
STCRNtr,-1
LHCYSTIN,-1
LHCYSTINt,-1
EX_Lhcystin_e,-1
MALOAAtm,-1
EX_vallystyr_e,-1
MLTHFtm,-1
PSDm_hsc,-1
SK_akg_c,-1
ILEARGILEt,0
UGT1A10c,-1
ACGALtr,-1
CO2t,-1
DGK1,2
ENO,0
EX_akg_e,-1
EX_asn__L_e,-1
LEUTYRTYRt,0
THRASNTYRt,0
THRTHRARGt,0
EX_co2_e,-1
EX_cytd_e,-1
EX_dcyt_e,-1
EX_dgsn_e,-1
EX_duri_e,-1
EX_glypro_e,-1
EX_h_e,-1
EX_ile__L_e,-1
EX_met__L_e,-1
TRPTYRTYRt,0
TYRCYSTHRt,0
EX_pro__L_e,-1
EX_ser__L_e,-1
EX_so4_e,-1
EX_val__L_e,-1
FBA,0
PGI,3
PGK,0
ILEASNHISr,-1
PMANM,1
PPA,1
PPM,2
LEUASNASPr,-1
LYSARGLEUr,-1
LYSTYRILEr,-1
PSERT,0
PSP_L,1
RNDR1,1
RPI,1
SPODM,2
TKT2,0
TMDK1,1
LDH_L,0
LGTHL,3
MI3PP,1
ORNDC,1
PYDAMK,3
TYRTA,1
THRTHRARGr,-1
EX_ppa_e,-1
DCMPDA,2
FTHFLi,2
ACALDt,-1
AACOAT,2
MTRI,-1
TRPASPASPr,-1
TRPGLNGLNr,-1
TRPTYRTYRr,-1
TYRPHETYRr,-1
VALLYSTYRr,-1
DM_C02712_c,-1
F1Ate,-1
LTHSTRLtr,-1
TRYPTAte,0
HDD2CRNte2,2
SK_chol_c,-1
SK_cholate_c,-1
SK_coa_c,-1
FBA2,0
FUM,2
G3PD1ir,1
GALt2_2,1
GAPD,0
GHMT2r,1
EX_sql_e,-1
GMAND,1
GMPS2,2
MAN6PI,1
MTHFC,1
MTHFD,2
UMPK,3
C05769te2,-1
C05770te3,-1
UPP3S,1
UPPDC1,1
URIt2,1
EX_ala__L_e,-1
ALAt2r,0
EX_his__L_e,-1
UDPG4DOPA,1
NTD8,0
NTD9,0
NTD11,0
GLYCK,1
ABUTD,3
AGDC,1
CYTK2,3
EX_cit_e,-1
EX_fol_e,-1
EX_glcr_e,-1
EX_glcur_e,-1
EX_trp__L_e,-1
EX_ura_e,-1
EX_xyl__D_e,-1
G6PDA,1
GALKr,1
HMR_0167,0
HMR_0176,0
GLUPRT,1
GLYOX,1
HXPRT,1
LDH_D,0
MTHFD2i,1
CAPROICc,-1
HMR_0859,1
HMR_0860,0
HMR_0864,0
CE2006te,2
HMR_1976,0
EX_dsmsterol_e,-1
EX_dopa4glcur_e,-1
EX_dopa3glcur_e,-1
HMR_2679,0
CRMte,-1
EX_gluside_hs_e,-1
HMR_2712,0
HMR_2713,1
HMR_2715,0
G3PD2,1
G3PD,3
HMR_3322,1
HMR_1477,2
HMR_1478,2
HMR_1490,1
HMR_1493,1
HMR_1494,1
HMR_1495,1
HMR_1504,1
HMR_1509,1
HMR_1516,2
HMR_1532,2
HMR_1540,1
HMR_1544,1
HMR_1545,1
HMR_1546,1
HMR_1548,1
HMR_1552,1
HMR_1557,2
LTHSTRLOR,2
HMR_1565,1
HMR_2114,-1
HMR_2281,1
HMR_3520,-1
HMR_2602,0
HMR_2611,0
HMR_2644,0
HMR_6910,0
HMR_7757,2
HMR_7758,2
HMR_8510,-1
DCA24GSc,0
DCA24Gtr,-1
DCA3GSc,0
DCA3Gtr,-1
DCASULT,0
DM_dca3g_c,-1
CARN180t_m,0
HMR_2667,0
HMR_3117,1
HMR_3859,0
HMR_3953,-1
HMR_4422,1
HMR_4771,-1
CRVSM1hr,2
CVM23GLUChc,0
HMR_6397,2
MI3PS,1
HMR_9177,-1
HMR_9178,-1
HMR_9634,-1
SMVGLUChep,0
SK_ile__L_c,-1
SK_leu__L_c,-1
SK_met__L_c,-1
SK_phe__L_c,-1
SK_trp__L_c,-1
SK_asp__L_c,-1
SK_gln__L_c,-1
SK_glu__L_c,-1
SK_ser__L_c,-1
SK_gly_c,-1
SK_4abut_l,-1
DM_kynate_c,-1
DM_protein_c,-1
ATPS4mi,0
CYOR_u10mi,1
CYOOm3i,0
FCOAH2,-1
FOLR2,1
FUCGALFUCGALACGLCGALGLUSIDEte,-1
FUMm,2
FUMSO3tm,1
G6Pter,1
GALOR,1
GCC2am,0
GCC2bim,0
GCC2cm,0
GCCbim,0
GCCcm,0
GGH_10FTHF5GLUe,1
GGH_10FTHF6GLUe,1
GGH_10FTHF7GLUe,1
GGH_5DHFe,1
GGH_5THFe,1
GGH_6DHFe,1
GGH_6THFe,1
GGH_7DHFe,1
GGNG,0
GGT_L,-1
GHMT3,1
GLACO,0
GLACter,-1
GLBRAN,1
GLCAASE1ly,2
GLCAASE5ly,2
GLCNACASE1ly,1
GLCNACASE2ly,1
GLCNACASE3ly,1
GLCNACASE4ly,1
GLCURtly,1
GLDBRAN,3
GLU5Km,3
GLUCYS,1
GDHm,0
GLUDym,0
GluForTx,0
GLUNm,1
GLUt2m,0
GLXtm,-1
GLYATm,0
GLYCLTDy,2
GLYCtm,-1
GLYOXm,1
GPIAT,1
GPIMTer_U,2
GRTTx,2
GTHOr,2
GTHRDt,-1
GTMLTe,1
H2ETer,2
H2MTer_U,1
H2O2tn,-1
H2O2tp,-1
H2Otly,-1
H2Otp,-1
H5MTer_U,1
H6_ETer,2
H7_TAer,1
HACD1m,1
HAS2,0
HDCAter,-1
HGNTOR,1
HIStN1,0
HMGCOAS,2
HPDCAt,-1
HPYRRy,2
HS1ly,2
HS3ly,2
HS4ly,2
HSAT1ly,-1
HSAT4ly,-1
HSPGtly,-1
Htr,-1
ICDHxm,1
ICDHym,2
IDOAASE1ly,1
IDOAASE2ly,1
ILEtec,1
IPDDIx,0
KDNH,-1
LDH_Lm,0
LEUt5m,-1
LINKDEG4ly,-1
L_LACDcm,1
LNELDCCPT1,0
LNELDCCPT2,1
LNSTLSr,2
LTA4H,2
MDHm,2
ME2,1
MI1PS,1
MTAP,2
MTHFDm,1
NACHEX2ly,2
NACHEXA1ly,2
NACHEXA6ly,2
NACHEXA8ly,2
NADPHtxu,-1
NAt5,0
NDP6,1
NDPK10n,0
NDPK1n,0
NDPK2n,0
NDPK3n,0
NDPK5n,0
NDPK6n,0
NDPK8n,0
NP1,1
O2St,-1
O2Stx,-1
O2tm,-1
O2tp,-1
OCTAt,-1
OIVD1m,1
ORNt3m,0
ORNTArm,3
P5CRxm,2
PCm,1
PDX5POi,2
PEt,-1
PHCDm,1
PHEtec,0
PPItx,-1
PRAGSr,2
PRISTANALtx,-1
PSSA1_hs,2
PSt3,-1
PYAM5PO,2
S2TASE4ly,-1
S3TASE1ly,-1
S3TASE2ly,-1
SACCD4m,2
SCP21x,3
SK_citr__L_c,-1
SK_pre_prot_r,-1
SOAT12,2
SPODMn,2
SPODMx,2
STRDNCCPT2,1
SUCCtm,1
SUCCt4_2,0
SUCOAS1m,1
SUCOASm,1
THFt2_1,1
THYMDt1,1
TMNDNCCPT2,1
TRDR,2
TRDR3,2
UGT1A3r,0
UGT1A7r,0
UMPK2,3
UMPK6,3
URAt,1
URIDK2m,1
URIt4,0
VALtec,1
XYLTD_D,-1
XYLtly,-1
EX_fald_e,-1
EX_HC01444_e,-1
EX_HC01609_e,-1
EX_cpppg1_e,-1
CPS_m,1
ALATA_Lm,1
r0170,2
r0173,0
r0193,0
r0210,0
DHFRim,1
ALCD19y,1
r0280,0
r0340,1
ADADir,2
PYDXO_1,2
NAPRT,1
r0393,1
AGPOP,0
r0450,0
RNTR3,1
r0509,1
r0512,1
FTHFCLm,0
r0525,2
DUTCP,1
BETALDHy,2
r0575,2
r0595,1
HPROym,2
ACACT4m,1
r0636,2
ACOAR5m,1
ACACT6m,1
r0641,0
r0652_1,1
ECOAH5m,1
r0707,1
r0714_1,1
r0720_1,1
HACD5m,1
HACD4m,1
ECOAH4m,1
r0732,1
ACOAR4m,1
r0783,3
ACOAR2m,1
r0795,-1
SUCFUMtm,1
r0853,-1
r0970,-1
r0990,-1
r0999,-1
CHOLESTTDe,-1
r1109,-1
r1116,-1
r1135,1
r1146,-1
AKGICITtm,1
DUTUP,1
r1380,3
r1664,3
r1670,3
r1959,3
r2079,1
r2095,1
r2097,1
r2140,0
r2142,0
r2143,0
r2197,0
r2198,0
r2312,0
r2314,1
r2338,0
RE0577C,0
ECOAR,-1
RE3051C,-1
RE3052C,-1
CHLSTD78I,1
FAOXC123C102m,1
FAOXC12C12OHm,2
FAOXC12DCTc,1
FAOXC14DCC12DCx,1
FAOXC15NADPx,1
FAOXC163C143m,3
EX_ethamp_e,-1
EX_L2aadp_e,-1
EX_udpglcur_e,-1
FOLOAT1tc,0
EX_argargmet_e,-1
EX_argserser_e,-1
EX_aspmetasp_e,-1
EX_aspprolys_e,-1
SK_hdca_c,-1
SK_lnlncacoa_c,-1
SK_pydam_c,-1
SK_stcoa_c,-1
EX_2obut_e,-1
EX_glcn_e,-1
ACACt2,1
ADK1,0
ADSS,0
HMR_0795,0
HMR_2817,2
HMR_2821,2
HMR_2857,2
HMR_4772,1
